day,LLOY_high,LLOY_open,LLOY_close,LLOY_low,BARC_high,BARC_open,BARC_close,BARC_low,RBS_high,RBS_open,RBS_close,RBS_low,FTSE_high,FTSE_open,FTSE_close,FTSE_low,USDGBP,Oil
1,27.99,27.81,26.94,26.855,111.16,110.42,105.9,105.86,123.1,120.55,116.9,115.8,5960.68,5862.05,5937.56,5862.05,1.34,
0,28.715,28.235,28.35,28.07,112.795,111.28,111.96,110.6,123.1,120.55,116.9,115.8,6033.04,5999.99,5963.57,5962.46,1.335,
