day,LLOY_high,LLOY_open,LLOY_close,LLOY_low,BARC_high,BARC_open,BARC_close,BARC_low,RBS_high,RBS_open,RBS_close,RBS_low,FTSE_high,FTSE_open,FTSE_close,FTSE_low,USDGBP,Oil
1,28.715,28.235,28.35,28.07,112.795,111.28,111.96,110.6,123.1,120.55,116.9,115.8,6033.04,5999.99,5963.57,5962.46,1.335,
0,28.715,28.235,28.35,28.07,112.795,111.28,111.96,110.6,123.1,120.55,116.9,115.8,6033.04,5999.99,5963.57,5962.46,1.335,45.15
