epoch;loss;lr;val_loss
0;0.05766106036886689;0.001;0.08530325209721923
1;0.03982420432914034;0.001;0.06423525745049119
2;0.041414027336028184;0.001;0.0649774619801478
3;0.03774401582849977;0.001;0.06490360509434884
4;0.03375848449027376;0.001;0.08187922039492564
5;0.031345509092327105;0.001;0.06308053230697458
6;0.03142381672917753;0.001;0.06697287131100893
7;0.029597074273567836;0.001;0.05899725278670138
8;0.02878059457864337;0.001;0.05690256290307099
9;0.028262742289526802;0.001;0.05926816734823991
10;0.026692874042918827;0.001;0.0627705098383806
11;0.027070274502256384;0.001;0.06018943729048425
12;0.025681671873097407;0.001;0.05402843374758959
13;0.024595087645974026;0.001;0.05994664900936186
14;0.024852261985452838;0.001;0.05652268241498281
15;0.024747791464516625;0.001;0.04810805258933793
16;0.02428605198563015;0.001;0.0500757161273875
17;0.024020250080378024;0.001;0.04693897686560045
18;0.02337836248959607;0.001;0.04884671572257172
19;0.02244648639953438;0.001;0.04990824667567557
20;0.02267690306957014;0.001;0.046398507854477924
21;0.022817166786684367;0.001;0.044428891502320766
22;0.022590519286010864;0.001;0.04406849368983372
23;0.022281723432170393;0.001;0.04743079417808489
24;0.022139915698189797;0.001;0.04477198735218157
25;0.02237345425390316;0.001;0.043579940535974776
26;0.021565100785112916;0.001;0.049849965567277235
27;0.02193004413098387;0.001;0.042099129535596476
28;0.021357979101821026;0.001;0.048056958200918
29;0.02139049821899269;0.001;0.046751782869581475
30;0.021537951124897262;0.001;0.04037557686255737
31;0.02175541190387036;0.001;0.04734176757152785
32;0.0212285637235856;0.001;0.041895085564729845
33;0.02147576419440921;0.001;0.03591798296706243
34;0.020372719946045587;0.001;0.04170092184689234
35;0.020952023732465064;0.001;0.03932830390774391
36;0.020622337892912474;0.001;0.039796158713711935
37;0.020505209583861587;0.001;0.044836567333814775
38;0.020024687077139836;0.001;0.03982332856817679
39;0.020129954290181284;0.001;0.04572229870510372
40;0.01969394065686121;0.001;0.03589179445142773
41;0.01988516491747204;0.001;0.038588867861438884
42;0.020160136041358287;0.001;0.04039471867409619
43;0.020013772070784745;0.001;0.04476316019215367
44;0.019806192307243783;0.001;0.035844247534193775
45;0.01974132486912585;0.001;0.03528718593191694
46;0.019694417361749865;0.001;0.03474629242819818
47;0.01937567466753988;0.001;0.03735693692314354
48;0.018921606362242875;0.001;0.03640064419331876
49;0.019271517121722263;0.001;0.040071195012635806
50;0.01911272658288827;0.001;0.0355706416409124
51;0.01879209209530676;0.001;0.03502169067294083
52;0.019067161004439517;0.001;0.037379650716585194
53;0.01875381476648065;0.001;0.03879681657153097
54;0.019072946845934316;0.001;0.032399148722602564
55;0.018590739987979023;0.001;0.03233764828606085
56;0.018644816544747655;0.001;0.035593279510397806
57;0.018500860512314605;0.001;0.039302452763711866
58;0.018319640890242177;0.001;0.03544585199349306
59;0.0183479791463639;0.001;0.03807183606973426
60;0.018962993935214407;0.001;0.03819485478611155
61;0.018401111124612478;0.001;0.03403231302614917
62;0.01819162948803563;0.001;0.03684991820376705
63;0.01814069588947679;0.001;0.03202025308697061
64;0.018180521107224408;0.001;0.029522105564617297
65;0.018303703009386472;0.001;0.033240674402226104
66;0.018167912920190436;0.001;0.032189358830113306
67;0.018657220243059592;0.001;0.03412071700123223
68;0.01804118903339315;0.001;0.03321189649233764
69;0.017884370758549713;0.001;0.03492852473970164
70;0.017986691199924347;0.001;0.03729416622610932
71;0.017897576350965158;0.001;0.03441721636971289
72;0.01811075081019608;0.001;0.038237849694930694
73;0.018037158749446794;0.001;0.031818454365499994
74;0.017503468993804797;0.001;0.03245858530598608
75;0.017809995941107493;0.001;0.031010264573110777
76;0.017698792755197923;0.001;0.03136716158637269
77;0.017660023229638774;0.001;0.027511837976900013
